City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dikson,100,RU,1643681961,89,73.5069,80.5464,-0.9,19.08
Rikitea,95,PF,1643681962,67,-23.1203,-134.9692,78.28,5.93
Caconda,100,AO,1643681964,79,-13.7333,15.0667,58.14,2.57
San Quintín,100,MX,1643681965,73,30.4833,-115.95,58.55,6.93
Nikolskoye,100,RU,1643681967,97,59.7035,30.7861,24.69,4.63
Port Elizabeth,100,ZA,1643681919,100,-33.918,25.5701,73.09,4.61
Nanortalik,100,GL,1643681971,80,60.1432,-45.2371,24.46,12.68
Atuona,14,PF,1643681972,77,-9.8,-139.0333,78.62,19.73
Jamestown,0,US,1643681974,54,42.097,-79.2353,26.24,4.61
George Town,20,MY,1643681934,74,5.4112,100.3354,84.13,1.01
Cape Town,0,ZA,1643681814,81,-33.9258,18.4232,73.11,1.01
Busselton,0,AU,1643681978,39,-33.65,115.3333,72.05,16.35
Airai,50,TL,1643681979,60,-8.9266,125.4092,72.05,6.89
Ushuaia,75,AR,1643681703,87,-54.8,-68.3,40.66,21.85
Butaritari,100,KI,1643681982,78,3.0707,172.7902,81.88,12.75
Cockburn Town,99,TC,1643681984,71,21.4612,-71.1419,74.19,21.52
Provideniya,75,RU,1643681985,67,64.3833,-173.3,10.51,17.9
Yeppoon,100,AU,1643681986,61,-23.1333,150.7333,94.78,11.1
Port Blair,40,IN,1643681988,83,11.6667,92.75,73.44,0.0
Lavrentiya,9,RU,1643681761,82,65.5833,-171.0,-1.62,12.37
Firovo,100,RU,1643681991,97,57.4814,33.7021,24.62,5.14
Lorengau,100,PG,1643681993,91,-2.0226,147.2712,77.47,13.69
Mpika,24,ZM,1643681995,97,-11.8343,31.4529,59.05,2.3
Carutapera,100,BR,1643681996,87,-1.195,-46.02,73.06,8.28
Tiksi,100,RU,1643681998,100,71.6872,128.8694,-11.04,5.7
Hithadhoo,12,MV,1643681999,72,-0.6,73.0833,82.44,12.33
Padang,100,ID,1643682001,83,-0.9492,100.3543,78.85,1.14
Hilo,75,US,1643682002,71,19.7297,-155.09,76.73,4.61
Paita,100,PE,1643682003,75,-5.0892,-81.1144,72.41,7.67
Araouane,0,ML,1643682005,9,18.9048,-3.5265,66.49,13.27
Kavaratti,6,IN,1643682006,72,10.5669,72.642,80.44,9.57
Aklavik,100,CA,1643682008,92,68.2191,-135.0107,-4.97,10.51
Bethel,0,US,1643682009,66,41.3712,-73.414,22.05,3.44
Thompson,100,CA,1643682010,78,55.7435,-97.8558,1.56,11.5
Hobart,0,AU,1643681828,32,-42.8794,147.3294,82.26,4.0
Kyra,98,RU,1643682411,83,49.5776,111.9753,-3.75,3.83
Jianhu,100,CN,1643682412,84,29.9799,120.5712,42.75,4.5
Bluff,100,NZ,1643682414,79,-46.6,168.3333,68.81,10.96
Iguape,100,BR,1643682415,95,-24.7081,-47.5553,72.59,6.58
Punta Arenas,75,CL,1643682416,76,-53.15,-70.9167,46.51,18.41
Avarua,100,CK,1643682418,83,-21.2078,-159.775,78.85,11.5
Bredasdorp,21,ZA,1643682419,88,-34.5322,20.0403,73.27,12.66
Vaini,70,TO,1643682421,73,-21.2,-175.2,80.44,14.43
Puerto Ayora,91,EC,1643682422,95,-0.7393,-90.3518,73.54,5.28
Vila Franca do Campo,52,PT,1643682423,77,37.7167,-25.4333,57.61,13.56
Shahr-e Kord,100,IR,1643682327,100,32.3256,50.8644,29.97,2.3
East London,100,ZA,1643682426,71,-33.0153,27.9116,77.02,2.42
Saint George,0,US,1643682429,24,37.1041,-113.5841,52.54,3.0
Severo-Kuril'sk,100,RU,1643682432,74,50.6789,156.125,28.87,18.39
Aripuanã,100,BR,1643682273,97,-9.1667,-60.6333,71.47,1.79
Calbuco,10,CL,1643682435,81,-41.768,-73.1273,56.41,6.53
Abhā,0,SA,1643682436,87,18.2164,42.5053,52.05,3.44
Kadiri,46,IN,1643682438,84,14.1167,78.1667,68.02,4.07
Tornio,36,FI,1643682439,97,65.8481,24.1466,-3.98,6.22
Pevek,65,RU,1643682441,97,69.7008,170.3133,-17.16,0.58
Kainantu,100,PG,1643682442,61,-6.2887,145.8655,71.76,2.68
Kandrian,100,PG,1643682443,75,-6.2167,149.55,84.22,5.06
Castro,1,BR,1643682445,90,-24.7911,-50.0119,62.67,2.55
Mataura,100,NZ,1643682446,46,-46.1927,168.8643,68.49,1.34
Mount Gambier,88,AU,1643682448,52,-37.8333,140.7667,62.46,13.87
Yenagoa,65,NG,1643682449,81,4.9247,6.2642,71.89,2.53
Uruburetama,39,BR,1643682452,90,-3.625,-39.5083,73.53,1.23
New Norfolk,33,AU,1643682453,26,-42.7826,147.0587,82.65,8.01
Nakonde,99,ZM,1643682456,98,-9.3421,32.745,58.01,0.27
Saint Anthony,0,US,1643682458,77,45.0205,-93.218,29.25,7.0
Gari,83,RU,1643682459,100,59.4307,62.3497,-6.29,3.31
Saint-Philippe,100,RE,1643682221,80,-21.3585,55.7679,78.35,14.61
Bengkulu,88,ID,1643682462,72,-3.8004,102.2655,81.55,3.76
Masumbwe,100,TZ,1643682463,96,-3.6333,32.1833,62.24,2.98
Shingū,2,JP,1643682465,38,33.7333,135.9833,50.99,8.41
Zaraza,99,VE,1643682468,73,9.3503,-65.3245,76.15,8.68
Illintsi,100,UA,1643682469,92,49.1048,29.2177,25.18,7.74
Blahodatne,83,UA,1643682470,93,50.6637,24.2492,21.18,6.24
Port Shepstone,100,ZA,1643682261,90,-30.7414,30.455,74.7,9.35
Pilar,7,BR,1643682473,87,-9.5972,-35.9567,76.93,4.18
Jalu,1,LY,1643682475,66,29.0331,21.5482,51.84,9.71
Pīpār,0,IN,1643682476,74,26.3856,73.5378,60.51,5.44
Albany,8,US,1643682479,69,42.6001,-73.9662,17.92,2.24
Ulladulla,90,AU,1643682482,58,-35.35,150.4667,95.77,5.06
Sitka,100,US,1643682483,80,57.0531,-135.33,35.49,5.75
Krasnosel'kup,100,RU,1643682485,96,65.7,82.4667,7.27,8.19
Cidreira,2,BR,1643682486,87,-30.1811,-50.2056,72.95,1.66
Lebu,0,CL,1643682487,77,-37.6167,-73.65,57.56,17.11
Chapais,39,CA,1643682489,99,49.7834,-74.8492,-16.82,3.76
Acuitzio,1,MX,1643682490,28,20.345,-101.9771,61.84,5.32
Kapaa,75,US,1643682340,71,22.0752,-159.319,76.98,0.0
Kushima,85,JP,1643682495,54,31.4583,131.2333,53.64,9.35
Takayama,100,JP,1643682496,77,36.1333,137.25,38.03,2.93
Hobyo,54,SO,1643682497,82,5.3505,48.5268,77.11,12.97
Barrow,100,US,1643682352,77,71.2906,-156.7887,-12.98,8.05
Vardø,22,NO,1643682503,81,70.3705,31.1107,21.97,8.34
Kaohsiung City,75,TW,1643682504,61,22.6163,120.3133,73.35,1.99
Vila Velha,75,BR,1643682506,94,-20.3297,-40.2925,73.35,5.75
Kuruman,100,ZA,1643682507,88,-27.4524,23.4325,64.99,13.04
Srednekolymsk,100,RU,1643682509,89,67.45,153.6833,-12.42,3.65
Faanui,7,PF,1643682510,73,-16.4833,-151.75,81.1,20.29
Chegdomyn,94,RU,1643682511,93,51.1167,133.0167,-7.29,1.88
Kaitangata,100,NZ,1643682514,76,-46.2817,169.8464,69.93,7.38
Yerofey Pavlovich,97,RU,1643682516,72,53.9667,121.9667,0.9,3.18
Mindelo,0,CV,1643682517,78,16.8901,-24.9804,69.35,19.57
Nago,98,JP,1643682519,62,26.5881,127.9761,66.27,6.38
Chui,0,UY,1643682520,65,-33.6971,-53.4616,61.38,7.09
Yellowknife,20,CA,1643682522,87,62.456,-114.3525,-10.71,6.91
Alofi,92,NU,1643682523,78,-19.0595,-169.9187,80.49,6.91
Sanarate,34,GT,1643682524,71,14.795,-90.1922,70.11,2.26
Coyhaique,75,CL,1643682356,63,-45.5752,-72.0662,58.95,6.91
Norman Wells,100,CA,1643682529,72,65.282,-126.8329,3.24,11.5
Hermanus,3,ZA,1643682530,89,-34.4187,19.2345,73.8,8.48
Constitución,0,CL,1643682531,75,-35.3333,-72.4167,57.7,8.3
Port Lincoln,21,AU,1643682533,55,-34.7333,135.8667,66.0,21.05
Saint Paul Harbor,100,US,1643682534,93,57.79,-152.4072,29.71,6.91
Huarmey,8,PE,1643682536,83,-10.0681,-78.1522,71.11,7.47
Saint-Pierre,40,RE,1643682537,73,-21.3393,55.4781,78.44,10.36
Korla,9,CN,1643682539,54,41.7597,86.1469,22.23,1.59
Cherskiy,100,RU,1643682540,86,68.75,161.3,-4.32,3.36
Kavieng,96,PG,1643682542,84,-2.5744,150.7967,79.95,12.91
Geraldton,7,AU,1643682543,37,-28.7667,114.6,84.61,20.71
Port Alfred,99,ZA,1643682544,97,-33.5906,26.891,74.64,2.71
Anloga,99,GH,1643682437,75,5.7947,0.8973,71.82,7.87
Dunedin,100,NZ,1643682547,81,-45.8742,170.5036,66.79,8.99
Ribeira Grande,19,PT,1643682549,74,38.5167,-28.7,60.12,12.86
Kruisfontein,98,ZA,1643682550,96,-34.0033,24.7314,70.88,3.8
Deputatsky,100,RU,1643682551,99,69.3,139.9,-20.18,2.98
Beringovskiy,100,RU,1643682273,94,63.05,179.3167,10.31,19.71
Flin Flon,100,CA,1643682556,93,54.7682,-101.865,5.88,14.52
Torbay,75,CA,1643682557,74,47.6666,-52.7314,31.75,11.5
Gunnedah,80,AU,1643682558,40,-30.9833,150.25,91.02,8.37
Youkounkoun,33,GN,1643682560,14,12.5333,-13.1333,78.35,3.78
Kyaikto,94,MM,1643682561,64,17.3,97.0167,70.39,5.23
Otradnoye,100,RU,1643682563,96,59.7775,30.8181,24.85,4.7
Taltal,0,CL,1643682564,78,-25.4,-70.4833,65.79,3.18
Hamilton,0,US,1643682566,74,39.1834,-84.5333,34.21,1.99
Narsaq,100,GL,1643682567,88,60.9167,-46.05,25.02,6.42
Leningradskiy,59,RU,1643682568,95,69.3833,178.4167,-16.98,9.22
Tommot,100,RU,1643682570,94,58.9564,126.2925,-4.29,7.4
Arraial do Cabo,0,BR,1643682571,94,-22.9661,-42.0278,75.06,2.3
Mosjøen,100,NO,1643682573,82,65.836,13.1908,26.6,7.4
Lata,0,PT,1643682574,55,40.1629,-8.3327,50.05,5.84
Vangaindrano,60,MG,1643682575,85,-23.35,47.6,73.56,2.28
